timestamp;datetime;emission_gr_kWh
1712868300;2024-04-11 22:45:00+02:00;393.301
1712869200;2024-04-11 23:00:00+02:00;382.019
1712870100;2024-04-11 23:15:00+02:00;387.897
1712871000;2024-04-11 23:30:00+02:00;386.114
1712871900;2024-04-11 23:45:00+02:00;386.908
1712872800;2024-04-12 00:00:00+02:00;386.282
1712873700;2024-04-12 00:15:00+02:00;378.668
1712874600;2024-04-12 00:30:00+02:00;365.84
1712875500;2024-04-12 00:45:00+02:00;355.381
1712876400;2024-04-12 01:00:00+02:00;345.274
1712877300;2024-04-12 01:15:00+02:00;348.796
1712878200;2024-04-12 01:30:00+02:00;346.971
1712879100;2024-04-12 01:45:00+02:00;342.049
1712880000;2024-04-12 02:00:00+02:00;326.296
1712880900;2024-04-12 02:15:00+02:00;321.507
1712881800;2024-04-12 02:30:00+02:00;318.646
1712882700;2024-04-12 02:45:00+02:00;318.162
1712883600;2024-04-12 03:00:00+02:00;310.93
1712884500;2024-04-12 03:15:00+02:00;310.964
1712885400;2024-04-12 03:30:00+02:00;317.605
1712886300;2024-04-12 03:45:00+02:00;317.802
1712887200;2024-04-12 04:00:00+02:00;338.791
1712888100;2024-04-12 04:15:00+02:00;340.596
1712889000;2024-04-12 04:30:00+02:00;341.702
1712889900;2024-04-12 04:45:00+02:00;342.81
1712890800;2024-04-12 05:00:00+02:00;350.524
1712891700;2024-04-12 05:15:00+02:00;349.818
1712892600;2024-04-12 05:30:00+02:00;350.526
1712893500;2024-04-12 05:45:00+02:00;347.046
1712894400;2024-04-12 06:00:00+02:00;336.998
1712895300;2024-04-12 06:15:00+02:00;327.159
1712896200;2024-04-12 06:30:00+02:00;322.211
1712897100;2024-04-12 06:45:00+02:00;316.247
1712898000;2024-04-12 07:00:00+02:00;297.053
1712898900;2024-04-12 07:15:00+02:00;295.133
1712899800;2024-04-12 07:30:00+02:00;294.052
1712900700;2024-04-12 07:45:00+02:00;293.194
1712901600;2024-04-12 08:00:00+02:00;281.386
1712902500;2024-04-12 08:15:00+02:00;285.69
1712903400;2024-04-12 08:30:00+02:00;280.116
1712904300;2024-04-12 08:45:00+02:00;266.969
1712905200;2024-04-12 09:00:00+02:00;242.751
1712906100;2024-04-12 09:15:00+02:00;240.73
1712907000;2024-04-12 09:30:00+02:00;223.611
1712907900;2024-04-12 09:45:00+02:00;208.578
1712908800;2024-04-12 10:00:00+02:00;197.126
1712909700;2024-04-12 10:15:00+02:00;194.095
1712910600;2024-04-12 10:30:00+02:00;185.595
1712911500;2024-04-12 10:45:00+02:00;180.915
1712912400;2024-04-12 11:00:00+02:00;180.349
1712913300;2024-04-12 11:15:00+02:00;174.23
1712914200;2024-04-12 11:30:00+02:00;171.169
1712915100;2024-04-12 11:45:00+02:00;171.323
1712916000;2024-04-12 12:00:00+02:00;172.437
1712916900;2024-04-12 12:15:00+02:00;172.884
1712917800;2024-04-12 12:30:00+02:00;173.084
1712918700;2024-04-12 12:45:00+02:00;172.089
1712919600;2024-04-12 13:00:00+02:00;170.576
1712920500;2024-04-12 13:15:00+02:00;168.821
1712921400;2024-04-12 13:30:00+02:00;168.15
1712922300;2024-04-12 13:45:00+02:00;166.81
1712923200;2024-04-12 14:00:00+02:00;163.55
1712924100;2024-04-12 14:15:00+02:00;163.068
1712925000;2024-04-12 14:30:00+02:00;163.086
1712925900;2024-04-12 14:45:00+02:00;162.949
